anchor,mse
12522,1179.7862548828125
12523,1200.9593505859375
12524,1215.2039794921875
12525,1163.518310546875
12526,1062.4617919921875
12527,1104.9290771484375
12528,1207.2572021484375
12529,1125.8690185546875
12530,1045.2119140625
12531,1081.3779296875
12532,1110.432373046875
12533,1054.86083984375
12534,1066.8431396484375
12535,1063.4530029296875
12536,1091.613037109375
12537,1220.0235595703125
12538,1232.48095703125
12539,1310.329833984375
12540,1393.5108642578125
12541,1538.5296630859375
12542,1693.5240478515625
12543,1767.1810302734375
12544,1893.7032470703125
12545,2043.82421875
12546,2149.712646484375
12547,2231.733642578125
12548,2333.387939453125
12549,2346.035400390625
12550,1926.7635498046875
12551,1931.0159912109375
12552,2005.63720703125
12553,2201.2275390625
12554,2047.2838134765625
12555,2060.769287109375
12556,2085.320556640625
12557,2142.214599609375
12558,2167.301025390625
12559,2271.072509765625
12560,2312.260498046875
12561,2157.694091796875
12562,2112.142822265625
12563,1191.8631591796875
12564,977.302490234375
12565,882.0504760742188
12566,914.883544921875
12567,916.2357788085938
12568,989.4817504882812
12569,910.1370239257812
12570,814.11083984375
12571,842.6442260742188
12572,880.03173828125
12573,1040.7733154296875
12574,1042.7208251953125
12575,1035.71630859375
12576,1043.991943359375
12577,944.5420532226562
12578,972.0214233398438
12579,994.8584594726562
12580,1041.57080078125
12581,1117.9678955078125
12582,1204.3472900390625
12583,1266.618896484375
12584,1029.8736572265625
12585,970.810546875
12586,1136.5657958984375
12587,956.2800903320312
12588,827.2000122070312
12589,835.3857421875
12590,825.7903442382812
12591,857.4297485351562
12592,848.071533203125
12593,879.62255859375
12594,939.0979614257812
12595,997.2330932617188
12596,985.5708618164062
12597,872.0530395507812
12598,894.94580078125
12599,814.973876953125
12600,745.7097778320312
12601,722.975830078125
12602,693.6012573242188
12603,759.683837890625
12604,820.54638671875
12605,704.3173217773438
12606,725.22900390625
12607,777.4417114257812
12608,661.8356323242188
12609,660.2114868164062
12610,686.21337890625
12611,565.8222045898438
12612,602.2255859375
12613,760.0050659179688
12614,544.4164428710938
12615,545.839599609375
12616,536.8637084960938
12617,586.9267578125
12618,594.2440795898438
12619,671.45166015625
12620,651.5154418945312
12621,728.3974609375
12622,603.0061645507812
12623,616.1289672851562
12624,690.3292846679688
12625,614.5547485351562
12626,610.487548828125
12627,673.3120727539062
12628,875.3143920898438
12629,819.3917846679688
12630,706.6990356445312
12631,626.04150390625
12632,603.736572265625
12633,602.1307983398438
12634,560.9129028320312
12635,531.5849609375
12636,571.5116577148438
12637,625.1912231445312
12638,624.8273315429688
12639,605.841552734375
12640,558.2459716796875
12641,526.4940795898438
12642,556.9120483398438
12643,616.8366088867188
12644,592.7905883789062
12645,664.97119140625
12646,717.5265502929688
12647,655.2974243164062
12648,683.1990356445312
12649,637.3600463867188
12650,665.1428833007812
12651,603.8480834960938
12652,647.9946899414062
12653,653.7559204101562
12654,762.5789184570312
12655,685.8905639648438
12656,651.2396850585938
12657,754.8310546875
12658,809.9778442382812
12659,892.7571411132812
12660,769.742431640625
12661,908.400390625
12662,755.0873413085938
12663,647.0403442382812
12664,656.77880859375
12665,571.2933959960938
12666,505.3212890625
12667,479.1602478027344
12668,480.9458923339844
12669,467.6097412109375
12670,527.0635986328125
12671,573.1610107421875
12672,473.4796142578125
12673,447.1138916015625
12674,462.5948791503906
12675,640.6632690429688
12676,392.2016906738281
12677,413.0587463378906
12678,351.19775390625
12679,308.7749328613281
12680,274.9427795410156
12681,291.6675109863281
12682,275.1946716308594
12683,296.824951171875
12684,371.9802551269531
12685,184.88671875
12686,184.3472442626953
12687,192.76878356933594
12688,218.9169464111328
12689,199.6487274169922
12690,152.1738739013672
12691,152.5732421875
12692,158.2596435546875
12693,148.1342315673828
12694,177.5124053955078
12695,145.1436767578125
12696,178.06837463378906
12697,146.9987030029297
12698,148.4601593017578
12699,177.7513885498047
12700,201.477783203125
12701,199.7041778564453
12702,196.3909454345703
12703,188.54481506347656
12704,180.9116668701172
12705,223.8423309326172
12706,176.2819061279297
12707,187.8311309814453
12708,158.193603515625
12709,148.58526611328125
12710,151.09739685058594
