epoch,train_loss,validation_loss,learning_rate,epoch_runtime_sec,best_validation_loss,patience_state,allocated_bytes,reserved_bytes,projection_gradient_norm_max_so_far,projection_gradient_nonfinite_batches,projection_weight_norm,projection_weight_update_norm,projected_text_mean,projected_text_std,projected_text_variance
1,0.8650704212935574,0.3835044801235199,0.0001,4.459253311157227,0.3835044801235199,0,621050368,882900992,7.733577622728586,1,6.854187488555908,0.48859453201293945,0.41802459955215454,2.24047589302063,5.019732475280762
2,0.8359623845801296,0.3822738528251648,0.0001,4.489099025726318,0.3822738528251648,0,621050368,882900992,7.733577622728586,1,6.905191421508789,0.9793998599052429,0.49072763323783875,2.437300682067871,5.94043493270874
3,0.8153196085827896,0.39521142840385437,0.0001,4.616610288619995,0.3822738528251648,1,621050368,882900992,9.314669194799226,2,7.040388584136963,1.7363886833190918,0.18460147082805634,2.0962772369384766,4.394378662109375
4,0.7721934393945947,0.4090530574321747,0.0001,3.827310085296631,0.3822738528251648,2,621050368,882900992,17.45372632081179,4,7.19761323928833,2.299762487411499,-0.015302423387765884,1.7378385066986084,3.020082712173462
5,0.7245682741863182,0.4351539611816406,0.0001,4.05871844291687,0.3822738528251648,3,621050368,882900992,22.168599901940265,4,7.296897888183594,2.6066057682037354,0.45357534289360046,1.8904958963394165,3.573974609375
