anchor,mse
12374,369.8105163574219
12375,391.2701110839844
12376,456.798095703125
12377,492.4561767578125
12378,552.2304077148438
12379,541.5101928710938
12380,461.0561218261719
12381,414.9521484375
12382,408.8193054199219
12383,432.3759460449219
12384,532.6316528320312
12385,569.2537231445312
12386,515.7559204101562
12387,547.9945068359375
12388,510.5145568847656
12389,534.8798217773438
12390,533.8305053710938
12391,471.6602478027344
12392,351.5355529785156
12393,333.9241638183594
12394,351.2945251464844
12395,341.6023864746094
12396,356.5195007324219
12397,308.7797546386719
12398,265.8441162109375
12399,292.16900634765625
12400,294.59527587890625
12401,264.3674011230469
12402,268.5453186035156
12403,282.9400329589844
12404,269.3061218261719
12405,267.177734375
12406,282.6731262207031
12407,314.3349914550781
12408,318.9473876953125
12409,304.61767578125
12410,293.6143493652344
12411,280.6300048828125
12412,293.4147033691406
12413,270.0040588378906
12414,297.6345520019531
12415,343.1408996582031
12416,305.0905456542969
12417,340.4152526855469
12418,323.7847900390625
12419,301.0688781738281
12420,299.7769775390625
12421,334.7435302734375
12422,322.70977783203125
12423,277.4609069824219
12424,208.64173889160156
12425,211.90138244628906
12426,228.0348663330078
12427,269.5349426269531
12428,277.28460693359375
12429,270.2890625
12430,249.3126220703125
12431,223.0340118408203
12432,263.6704406738281
12433,203.4610595703125
12434,203.9371795654297
12435,213.8375701904297
12436,210.01153564453125
12437,230.1721954345703
12438,310.9678649902344
12439,295.6618347167969
12440,313.1298522949219
12441,322.7192077636719
12442,265.4606628417969
12443,312.1414489746094
12444,281.8064880371094
12445,236.95660400390625
12446,261.6975402832031
12447,287.8432312011719
12448,322.6041564941406
12449,283.5392150878906
12450,295.9697570800781
12451,271.7587890625
12452,270.238525390625
12453,278.2344970703125
12454,268.914794921875
12455,277.5076904296875
12456,249.6118927001953
12457,248.7058563232422
12458,254.4010009765625
12459,240.41961669921875
12460,253.0866241455078
12461,272.7314147949219
12462,266.5624084472656
12463,273.6190490722656
12464,271.449951171875
12465,247.8056182861328
12466,236.5825958251953
12467,230.17356872558594
12468,230.9928436279297
12469,227.28834533691406
12470,230.5449676513672
12471,222.58876037597656
12472,234.49900817871094
12473,236.61143493652344
12474,251.66041564941406
12475,250.0370635986328
12476,213.18727111816406
12477,189.1634063720703
12478,210.08447265625
12479,218.00331115722656
12480,207.56689453125
12481,225.3979034423828
12482,279.3143005371094
12483,268.1598815917969
12484,224.09849548339844
12485,198.6239471435547
12486,261.4288024902344
12487,207.69464111328125
12488,181.8055877685547
12489,174.8533477783203
12490,239.2296142578125
12491,192.2252960205078
12492,188.42970275878906
12493,197.61415100097656
12494,164.28343200683594
12495,148.52467346191406
12496,168.41702270507812
12497,155.33468627929688
12498,154.58766174316406
12499,167.0692138671875
12500,155.8857879638672
12501,158.34393310546875
12502,218.1966552734375
12503,244.7969970703125
12504,239.4029998779297
12505,244.841552734375
12506,233.8853302001953
12507,227.38426208496094
12508,223.15821838378906
12509,216.50526428222656
12510,227.1318817138672
12511,255.03440856933594
12512,239.0789337158203
12513,241.5854949951172
12514,245.5582275390625
12515,522.08056640625
12516,784.0993041992188
12517,911.220703125
12518,1039.2578125
12519,1053.6171875
12520,1044.9676513671875
12521,1086.3592529296875
12522,1156.5555419921875
12523,1172.6280517578125
12524,1195.25
12525,1130.9176025390625
12526,1016.0349731445312
12527,1061.5445556640625
12528,1185.3658447265625
12529,1075.3013916015625
12530,1003.4088745117188
12531,1030.97705078125
12532,1062.5489501953125
12533,999.0294799804688
12534,1018.5419311523438
12535,1019.0210571289062
12536,1084.1619873046875
12537,1175.9967041015625
12538,1272.26611328125
12539,1353.3997802734375
12540,1427.970703125
12541,1575.7685546875
12542,1705.0435791015625
12543,1739.44873046875
12544,1780.2562255859375
12545,1894.1544189453125
12546,2118.883056640625
12547,2195.622802734375
12548,2194.223388671875
12549,2137.93115234375
12550,1756.8946533203125
12551,1752.2496337890625
12552,1845.91796875
12553,1935.2247314453125
12554,1910.4442138671875
12555,1961.9200439453125
12556,1966.0875244140625
12557,2016.9368896484375
12558,2024.490234375
12559,2162.76123046875
12560,2191.09326171875
12561,2091.345458984375
12562,2164.348388671875
12563,1275.0118408203125
12564,1144.5997314453125
12565,1195.4197998046875
12566,1077.289794921875
12567,1000.4871215820312
12568,1072.1468505859375
12569,926.6244506835938
12570,825.2353515625
12571,914.7063598632812
12572,923.7123413085938
12573,1055.6033935546875
12574,1111.3203125
12575,1089.6920166015625
12576,1063.1185302734375
12577,1034.0909423828125
12578,1038.82666015625
12579,1050.1990966796875
12580,1040.5780029296875
12581,1030.4453125
12582,1086.003173828125
12583,1067.3935546875
12584,915.2965698242188
12585,909.64013671875
12586,970.0180053710938
12587,932.4021606445312
12588,874.0224609375
12589,925.9978637695312
12590,991.1448364257812
12591,918.92578125
12592,897.7400512695312
12593,1043.5076904296875
12594,984.8362426757812
12595,1177.814208984375
12596,1065.4515380859375
12597,858.30322265625
12598,875.2576293945312
12599,829.8131713867188
12600,733.0291137695312
12601,702.5270385742188
12602,729.1095581054688
12603,750.1547241210938
12604,780.9379272460938
12605,735.9186401367188
12606,769.913330078125
12607,718.6554565429688
12608,646.4284057617188
12609,651.4625854492188
12610,673.4013061523438
12611,592.7393188476562
12612,662.861083984375
12613,689.2268676757812
12614,568.2145385742188
12615,587.653076171875
12616,558.7630004882812
12617,590.7589721679688
12618,619.6476440429688
12619,703.16943359375
12620,756.3370971679688
12621,837.1500854492188
12622,573.5785522460938
12623,495.0804443359375
12624,667.3223266601562
12625,762.8771362304688
12626,667.7900390625
12627,640.9357299804688
12628,717.519775390625
12629,721.0597534179688
12630,636.8224487304688
12631,607.792724609375
12632,614.6690673828125
12633,586.7456665039062
12634,550.9741821289062
12635,536.7077026367188
12636,525.1370239257812
12637,551.9480590820312
12638,596.3316040039062
12639,605.8316040039062
12640,556.9487915039062
12641,598.8812866210938
12642,595.4255981445312
12643,632.5540161132812
12644,645.0415649414062
12645,664.8905639648438
12646,670.6793823242188
12647,604.0603637695312
12648,598.2060546875
12649,631.940673828125
12650,630.0200805664062
12651,572.67333984375
12652,580.9129028320312
12653,583.8037719726562
12654,713.721923828125
12655,605.1029663085938
12656,647.3217163085938
12657,743.376953125
12658,750.0763549804688
12659,835.5198364257812
12660,817.2294311523438
12661,962.4338989257812
12662,859.6511840820312
12663,666.8104248046875
12664,653.3433837890625
12665,625.9996948242188
12666,526.2456665039062
12667,458.909912109375
12668,460.6778259277344
12669,564.9225463867188
12670,494.8467712402344
12671,525.1705322265625
12672,518.1729125976562
12673,458.8377380371094
12674,490.5061950683594
12675,723.2897338867188
12676,490.7491149902344
12677,447.7021789550781
12678,395.5772399902344
12679,324.3122863769531
12680,273.3174133300781
12681,288.5698547363281
12682,286.2350158691406
12683,298.68756103515625
12684,359.7362060546875
12685,181.8977508544922
12686,173.49851989746094
12687,188.87550354003906
12688,159.97032165527344
12689,189.222412109375
12690,165.6465606689453
12691,161.62689208984375
12692,177.2456512451172
12693,176.2544708251953
12694,179.0672149658203
12695,169.0364532470703
12696,181.77085876464844
12697,152.0054931640625
12698,141.46395874023438
12699,155.51353454589844
12700,173.11717224121094
12701,181.0347900390625
12702,165.1297149658203
12703,157.62255859375
12704,180.4573211669922
12705,181.18133544921875
12706,179.9034423828125
12707,171.8249969482422
12708,157.5212860107422
12709,167.7992401123047
12710,159.54356384277344
12711,158.24020385742188
12712,164.9558563232422
12713,155.46266174316406
12714,156.66468811035156
12715,151.12745666503906
12716,172.01585388183594
12717,159.39288330078125
12718,183.5374298095703
12719,185.30433654785156
12720,190.2764129638672
12721,184.54286193847656
12722,212.14666748046875
12723,202.01806640625
12724,160.853271484375
12725,155.0480499267578
