epoch,train_loss,validation_loss,learning_rate,epoch_runtime_sec,best_validation_loss,patience_state,allocated_bytes,reserved_bytes,projection_gradient_norm_max_so_far,projection_gradient_nonfinite_batches,projection_weight_norm,projection_weight_update_norm,projected_text_mean,projected_text_std,projected_text_variance
1,0.8705327458769442,0.38327717781066895,0.0001,4.180052757263184,0.38327717781066895,0,619278336,876609536,0.0,0,0.0,0.0,0.0,0.0,0.0
2,0.8448452285255295,0.3831698000431061,0.0001,3.8198392391204834,0.3831698000431061,0,619278336,876609536,0.0,0,0.0,0.0,0.0,0.0,0.0
3,0.8371374034378902,0.3810538351535797,0.0001,3.668689727783203,0.3810538351535797,0,619278336,876609536,0.0,0,0.0,0.0,0.0,0.0,0.0
4,0.8327297584479114,0.381315678358078,0.0001,3.4955360889434814,0.3810538351535797,1,619278336,876609536,0.0,0,0.0,0.0,0.0,0.0,0.0
5,0.827644129294947,0.37940409779548645,0.0001,3.534832000732422,0.37940409779548645,0,619278336,876609536,0.0,0,0.0,0.0,0.0,0.0,0.0
