anchor,mse
12367,299.3482666015625
12368,380.8837890625
12369,397.7363586425781
12370,336.47760009765625
12371,309.0899963378906
12372,307.4664611816406
12373,351.336181640625
12374,370.3507385253906
12375,422.5387268066406
12376,568.4274291992188
12377,532.971923828125
12378,660.5592651367188
12379,581.557373046875
12380,501.2006530761719
12381,467.5178527832031
12382,445.3427734375
12383,481.1422424316406
12384,601.5498657226562
12385,610.9655151367188
12386,522.5885009765625
12387,574.0601196289062
12388,520.6450805664062
12389,541.6625366210938
12390,510.0750427246094
12391,477.0546875
12392,368.4637145996094
12393,340.3588562011719
12394,342.333984375
12395,333.12786865234375
12396,329.099609375
12397,327.4461364746094
12398,313.7439270019531
12399,356.8352966308594
12400,338.56396484375
12401,305.4344482421875
12402,287.0997009277344
12403,302.8158264160156
12404,248.4444580078125
12405,245.69749450683594
12406,289.3850402832031
12407,284.3272399902344
12408,286.7789306640625
12409,288.1485900878906
12410,301.3978576660156
12411,273.7364196777344
12412,298.5830993652344
12413,353.8236389160156
12414,371.00732421875
12415,441.5950622558594
12416,387.2140808105469
12417,374.3449401855469
12418,361.4170227050781
12419,298.582275390625
12420,276.902587890625
12421,357.8314514160156
12422,323.6082763671875
12423,279.425048828125
12424,212.788330078125
12425,208.2273712158203
12426,208.4535369873047
12427,233.0218505859375
12428,243.1829376220703
12429,258.52099609375
12430,253.0495147705078
12431,243.8730926513672
12432,263.7206115722656
12433,191.0699920654297
12434,192.9900360107422
12435,202.3505401611328
12436,203.2689666748047
12437,209.40032958984375
12438,292.78857421875
12439,323.77947998046875
12440,311.3017272949219
12441,314.4303894042969
12442,284.4774475097656
12443,271.1832580566406
12444,272.4556579589844
12445,236.90663146972656
12446,250.8804931640625
12447,242.6086883544922
12448,234.04620361328125
12449,255.2480010986328
12450,264.599365234375
12451,275.6621398925781
12452,284.596435546875
12453,275.3121032714844
12454,265.046630859375
12455,268.2975158691406
12456,256.2533874511719
12457,253.0051727294922
12458,264.1358947753906
12459,248.6834716796875
12460,264.58575439453125
12461,275.6536865234375
12462,272.0365295410156
12463,276.771728515625
12464,271.9006652832031
12465,257.8520202636719
12466,245.54693603515625
12467,230.2169647216797
12468,229.5923309326172
12469,228.57627868652344
12470,229.515625
12471,223.22369384765625
12472,218.0110626220703
12473,232.8716583251953
12474,231.8846893310547
12475,223.76881408691406
12476,203.9244842529297
12477,180.68382263183594
12478,206.5868377685547
12479,241.21827697753906
12480,199.9390106201172
12481,222.987060546875
12482,281.1253662109375
12483,277.7530517578125
12484,233.4735107421875
12485,229.3700714111328
12486,337.1475524902344
12487,247.3907470703125
12488,261.3497009277344
12489,241.02191162109375
12490,280.74249267578125
12491,200.85023498535156
12492,221.07171630859375
12493,176.2800750732422
12494,158.5574188232422
12495,171.78370666503906
12496,188.955810546875
12497,156.22999572753906
12498,150.98052978515625
12499,148.76991271972656
12500,147.7881317138672
12501,152.91827392578125
12502,210.3289794921875
12503,238.6519317626953
12504,258.0675354003906
12505,256.3872985839844
12506,245.9199981689453
12507,232.5057830810547
12508,241.8610382080078
12509,241.3601837158203
12510,241.8981475830078
12511,230.3355712890625
12512,222.63746643066406
12513,236.44786071777344
12514,245.53533935546875
12515,533.4784545898438
12516,776.1635131835938
12517,907.21044921875
12518,1030.86865234375
12519,1050.5599365234375
12520,1013.587890625
12521,1066.6666259765625
12522,1205.8558349609375
12523,1198.5902099609375
12524,1232.163330078125
12525,1218.7596435546875
12526,985.21435546875
12527,1054.73828125
12528,1129.0865478515625
12529,1010.6298828125
12530,898.2501831054688
12531,988.1201171875
12532,1008.3712768554688
12533,1017.0534057617188
12534,1014.9948120117188
12535,1008.97314453125
12536,1019.5055541992188
12537,1183.450439453125
12538,1241.0208740234375
12539,1271.3115234375
12540,1409.4306640625
12541,1452.3017578125
12542,1603.4888916015625
12543,1774.6309814453125
12544,1970.9703369140625
12545,2045.9029541015625
12546,2091.269287109375
12547,2339.864013671875
12548,2499.98291015625
12549,2198.056396484375
12550,1868.0084228515625
12551,1636.8934326171875
12552,2069.259033203125
12553,1745.248046875
12554,1599.8740234375
12555,1655.7955322265625
12556,1811.7144775390625
12557,1794.6494140625
12558,2027.9833984375
12559,2028.8333740234375
12560,2041.7562255859375
12561,1918.5157470703125
12562,1914.7034912109375
12563,1141.048828125
12564,1074.49560546875
12565,1043.80224609375
12566,948.8765258789062
12567,879.9059448242188
12568,1018.7052612304688
12569,980.9628295898438
12570,916.3444213867188
12571,880.6615600585938
12572,1006.47216796875
12573,1168.4984130859375
12574,1077.511474609375
12575,955.3453979492188
12576,979.027587890625
12577,908.7047729492188
12578,896.7900390625
12579,1004.7532348632812
12580,963.3916015625
12581,1014.47314453125
12582,1073.7823486328125
12583,976.0502319335938
12584,782.5974731445312
12585,859.5838012695312
12586,954.965576171875
12587,825.45947265625
12588,854.1775512695312
12589,793.3616333007812
12590,845.66650390625
12591,916.9288940429688
12592,855.3444213867188
12593,817.5764770507812
12594,857.7800903320312
12595,927.94482421875
12596,920.5169067382812
12597,793.2501831054688
12598,795.1105346679688
12599,769.7522583007812
12600,744.5880737304688
12601,751.2814331054688
12602,717.96728515625
12603,745.2841796875
12604,787.8451538085938
12605,709.626953125
12606,747.7662963867188
12607,743.351318359375
12608,726.84228515625
12609,720.2346801757812
12610,839.7957153320312
12611,840.5584106445312
12612,787.541015625
12613,778.9655151367188
12614,525.6802368164062
12615,526.559326171875
12616,520.5480346679688
12617,573.662841796875
12618,607.1497192382812
12619,634.4530029296875
12620,520.5753784179688
12621,701.3224487304688
12622,649.5498046875
12623,684.7589721679688
12624,779.31494140625
12625,810.84619140625
12626,704.3796997070312
12627,744.0133666992188
12628,689.4775390625
12629,696.9917602539062
12630,646.53076171875
