anchor,mse
12629,855.1791381835938
12630,698.2539672851562
12631,585.889892578125
12632,656.8158569335938
12633,623.8994140625
12634,580.4635620117188
12635,606.8673706054688
12636,584.5211181640625
12637,600.1915893554688
12638,585.309326171875
12639,634.5977172851562
12640,569.8792114257812
12641,535.0386352539062
12642,553.8125
12643,639.564453125
12644,596.5186157226562
12645,669.9111938476562
12646,654.2191772460938
12647,606.75634765625
12648,659.9658813476562
12649,623.8286743164062
12650,602.1862182617188
12651,541.281494140625
12652,630.8114624023438
12653,656.6826171875
12654,797.9201049804688
12655,780.22998046875
12656,679.3971557617188
12657,764.498291015625
12658,760.15087890625
12659,819.998779296875
12660,772.4716186523438
12661,837.3364868164062
12662,750.8889770507812
12663,628.4367065429688
12664,655.40966796875
12665,601.7225952148438
12666,520.4949951171875
12667,473.5900573730469
12668,509.2979431152344
12669,516.8973999023438
12670,590.1868286132812
12671,693.0275268554688
12672,605.27294921875
12673,490.3527526855469
12674,508.9124450683594
12675,950.7688598632812
12676,454.3359069824219
12677,456.0953063964844
12678,440.1515808105469
12679,327.7027893066406
12680,307.6322021484375
12681,298.9905090332031
12682,295.02520751953125
12683,299.4981689453125
12684,382.8868713378906
12685,214.0413360595703
12686,198.92750549316406
12687,207.5089569091797
12688,251.902587890625
12689,239.0429229736328
12690,182.71678161621094
12691,154.31153869628906
12692,165.9473876953125
12693,140.66517639160156
12694,159.41928100585938
12695,141.31500244140625
12696,152.80810546875
12697,131.66162109375
12698,137.60858154296875
12699,174.5477752685547
12700,183.159423828125
12701,167.85775756835938
12702,159.98533630371094
12703,174.98045349121094
12704,170.10365295410156
12705,195.1831512451172
12706,165.16592407226562
12707,176.65576171875
12708,160.49330139160156
12709,152.42869567871094
12710,155.5591278076172
12711,160.25823974609375
12712,167.96495056152344
12713,150.7484588623047
12714,158.62327575683594
12715,149.00721740722656
12716,161.8756561279297
12717,173.7489471435547
12718,180.4014892578125
12719,194.0786895751953
12720,199.4720001220703
12721,184.4984588623047
12722,202.18824768066406
12723,197.9005889892578
12724,188.2536163330078
12725,185.37603759765625
12726,223.1568603515625
12727,213.8072967529297
12728,235.6111297607422
12729,227.3625030517578
12730,169.3926544189453
12731,172.8235626220703
12732,200.74737548828125
12733,184.7147216796875
12734,205.85411071777344
12735,174.8443145751953
12736,149.3975067138672
12737,148.5438690185547
12738,152.94598388671875
12739,144.5892333984375
12740,135.32017517089844
12741,136.65931701660156
12742,116.55364990234375
12743,125.2858657836914
12744,130.5656280517578
12745,130.30616760253906
12746,138.22506713867188
12747,96.1969223022461
12748,128.490478515625
12749,139.87811279296875
12750,108.51516723632812
12751,119.03240966796875
12752,140.70220947265625
12753,160.2078094482422
12754,144.4400177001953
12755,145.27076721191406
12756,174.4560546875
12757,191.3201904296875
12758,198.83897399902344
12759,169.65866088867188
12760,176.4862060546875
12761,208.23719787597656
12762,212.90025329589844
12763,186.8111572265625
12764,151.35467529296875
12765,154.28240966796875
12766,134.9539337158203
12767,138.55392456054688
12768,122.7936782836914
12769,115.21194458007812
12770,155.7281036376953
12771,155.06446838378906
12772,137.0470428466797
12773,158.5547332763672
12774,157.7158203125
12775,158.91612243652344
12776,157.7139892578125
12777,152.7411346435547
12778,160.24070739746094
12779,161.95993041992188
12780,180.4311981201172
12781,157.7577362060547
12782,164.90695190429688
12783,200.98805236816406
12784,198.09889221191406
12785,194.1044464111328
12786,199.2683563232422
12787,217.0911865234375
12788,211.75701904296875
12789,232.93353271484375
12790,203.81097412109375
12791,228.2410430908203
12792,222.381591796875
12793,215.758056640625
12794,219.4788055419922
12795,225.2398223876953
12796,238.0526580810547
12797,245.8490753173828
12798,224.3939971923828
12799,213.0095672607422
12800,197.0587615966797
12801,207.4349365234375
12802,203.93019104003906
12803,187.321533203125
12804,179.0150146484375
12805,191.40350341796875
12806,178.53770446777344
12807,199.6514434814453
12808,219.17637634277344
12809,206.84869384765625
12810,229.38671875
12811,243.11439514160156
12812,249.0728302001953
12813,269.0772399902344
12814,252.10337829589844
12815,260.7934875488281
12816,264.0979309082031
12817,258.9845275878906
12818,176.16029357910156
12819,192.9898681640625
12820,144.85679626464844
12821,157.6038055419922
12822,154.77415466308594
12823,145.69493103027344
12824,161.4138641357422
12825,147.5117645263672
12826,145.31582641601562
12827,143.40261840820312
12828,145.11451721191406
12829,156.99436950683594
12830,148.72088623046875
12831,133.70738220214844
12832,132.69700622558594
12833,115.65715789794922
12834,126.5057601928711
12835,163.19613647460938
12836,251.9676055908203
12837,293.3323059082031
12838,235.1527862548828
12839,227.0939483642578
12840,232.9039306640625
12841,226.208984375
12842,238.9945831298828
12843,253.4744415283203
12844,245.650146484375
12845,242.30108642578125
12846,228.58412170410156
12847,237.861328125
12848,240.3300323486328
12849,239.6155242919922
12850,235.5411376953125
12851,240.60035705566406
12852,251.6761474609375
12853,297.3331604003906
12854,293.0774841308594
12855,305.285400390625
12856,248.2200927734375
12857,279.2115783691406
12858,282.0832214355469
12859,285.6792907714844
12860,226.96742248535156
12861,253.0395050048828
12862,243.4934844970703
12863,252.97093200683594
12864,267.3493347167969
12865,269.6850280761719
12866,268.53875732421875
12867,258.6199645996094
12868,256.6708984375
12869,249.2599639892578
12870,254.5964813232422
12871,249.65509033203125
12872,400.6412658691406
12873,560.9962768554688
12874,611.7588500976562
12875,631.3694458007812
