method,source_model,mse,mae,nmse,smape,trend_f1,relative_improvement_over_persistence
persistence,persistence,0.2899765720366747,0.22401962704712197,0.2563092186685777,0.20201877086225878,0.0070921985815602835,0.0
strong_numerical_only,TimesNet,0.3985908250234258,0.30355221237967095,0.3935544129271883,0.2767609403365188,0.5075886524822695,-0.6772868043312551
strong_event_no_verifier,PatchTST,0.457224839744859,0.3242375609294311,0.42799348759752104,0.28505900378028554,0.4922931442080378,-0.8936091995692161
strong_event_with_verifier,PatchTST,0.457224839744859,0.3242375609294311,0.42799348759752104,0.28505900378028554,0.4922931442080378,-0.8936091995692161
strong_event_with_verifier,TimesNet,0.45755314318236706,0.3219647435143728,0.46024197386457544,0.29469127311474747,0.49978723404255315,-0.8522343855345245
strong_raw_text_fusion,PatchTST,0.45785813623957483,0.3243264928839182,0.4288361892862269,0.28553966784642804,0.49420803782505907,-0.9022513588781533
strong_event_no_verifier,TimesNet,0.4586584404972878,0.32631631283984147,0.46704247508830465,0.29804220361014205,0.4952955082742317,-0.9035115111916523
strong_numerical_only,PatchTST,0.4606634237264061,0.32510334848744793,0.43083938501175495,0.2857901807874441,0.49241134751773047,-0.9062871299087606
strong_raw_text_fusion,TimesNet,0.5221469568012365,0.3526466822202139,0.5364711805251825,0.3199561091346873,0.49517730496453904,-1.2066971893970082
