seed,domain,method,source_model,horizon,subset,n_windows,mse,mae,rmse,mape,trend_f1
2026,Energy,strong_numerical_only,TimesNet,3,event_window,235,0.03011334812063859,0.1197268323695406,0.1735319801092542,0.036312280384837636,0.5553191489361702
2026,Energy,strong_numerical_only,TimesNet,3,high_volatility_window,77,0.06762811059404912,0.20485714194062468,0.26005405321595954,0.058837024003261074,0.5909090909090909
2026,Energy,strong_numerical_only,PatchTST,3,event_window,235,0.0436909683254558,0.1514672262448791,0.20902384630815643,0.046254025112331947,0.5106382978723404
2026,Energy,strong_numerical_only,PatchTST,3,high_volatility_window,77,0.09387637301906109,0.25627060421617515,0.30639251462635486,0.07493322364430326,0.5064935064935064
2026,Energy,strong_raw_text_fusion,TimesNet,3,event_window,235,0.045797226042423936,0.15210892410143048,0.21400286456593037,0.047040447252623636,0.4978723404255319
2026,Energy,strong_raw_text_fusion,TimesNet,3,high_volatility_window,77,0.10196926895258906,0.25870107778739104,0.31932627350813003,0.07525754077320239,0.5194805194805194
2026,Energy,strong_raw_text_fusion,PatchTST,3,event_window,235,0.04420412305027971,0.15019402182694022,0.21024776586275468,0.04594757578432517,0.5212765957446809
2026,Energy,strong_raw_text_fusion,PatchTST,3,high_volatility_window,77,0.09704263586825494,0.25670812811170307,0.3115166702894966,0.07508725690765335,0.525974025974026
2026,Energy,strong_event_no_verifier,TimesNet,3,event_window,235,0.04052321689799654,0.13881670025223536,0.20130379255740946,0.042318370969032765,0.4531914893617021
2026,Energy,strong_event_no_verifier,TimesNet,3,high_volatility_window,77,0.08905379211657649,0.23485058829897926,0.29841881997718656,0.06769851069239306,0.44805194805194803
2026,Energy,strong_event_no_verifier,PatchTST,3,event_window,235,0.043424853792589015,0.14869688301221698,0.20838630903346078,0.045463334930800285,0.5127659574468085
2026,Energy,strong_event_no_verifier,PatchTST,3,high_volatility_window,77,0.09539457370712309,0.254349397374438,0.30886011996877016,0.07433635892900178,0.525974025974026
2026,Energy,strong_event_with_verifier,TimesNet,3,event_window,235,0.033526474265681845,0.12374246661544691,0.18310236007676647,0.03758158400920694,0.4702127659574468
2026,Energy,strong_event_with_verifier,TimesNet,3,high_volatility_window,77,0.07385740647403202,0.21072209294224198,0.27176719168073254,0.06071288014349486,0.4805194805194805
2026,Energy,strong_event_with_verifier,PatchTST,3,event_window,235,0.043424853792589015,0.14869688301221698,0.20838630903346078,0.045463334930800285,0.5127659574468085
2026,Energy,strong_event_with_verifier,PatchTST,3,high_volatility_window,77,0.09539457370712309,0.254349397374438,0.30886011996877016,0.07433635892900178,0.525974025974026
2026,Energy,strong_numerical_only,TimesNet,6,event_window,235,0.06536419255951842,0.18114736443715737,0.25566421837933917,0.05528047734318728,0.5004255319148936
2026,Energy,strong_numerical_only,TimesNet,6,high_volatility_window,76,0.13169765777209874,0.29961283269681427,0.36290171916387876,0.08720069113922581,0.49736842105263157
