seed,domain,method,horizon,mse,mae,rmse,mape,trend_f1,event_consistency,avg_selected_events,avg_tokens,groundedness,train_time_sec,inference_time_sec,llm_calls,token_cost_estimate
2026,Energy,persistence,3,0.0119991202830188,0.0728246855345912,0.1095404960871497,0.0239748394509113,0.0070754716981132,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Energy,numerical_only,3,0.024324705127993,0.1178605160847749,0.1559637942857028,0.0328076415725666,0.5235294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Energy,raw_text_embedding,3,0.0324375750043028,0.1489213040683741,0.1801043447679784,0.0413990341039635,0.5117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Energy,event_no_verifier,3,0.0837770445154006,0.2182174198799997,0.2894426446040745,0.0607251955750334,0.4470588235294118,0.4374671307338582,450.0,11.0,1.0,0.0,0.0,0,0.0
2026,Energy,event_with_verifier,3,0.0357624914562386,0.1441427345114927,0.189109733901348,0.040183980368971,0.4411764705882353,0.4374671307338582,450.0,11.0,1.0,0.0,0.0,0,0.0
2026,Energy,full_cents_feature,3,0.0357624914562386,0.1441427345114927,0.189109733901348,0.040183980368971,0.4411764705882353,0.4374671307338582,450.0,11.0,1.0,0.0,0.0,0,0.0
2026,Energy,persistence,6,0.0284986860649247,0.1106543942992874,0.1688155385766511,0.0364551057037185,0.007125890736342,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Energy,numerical_only,6,0.0773205552560265,0.2082401540238262,0.2780657390906448,0.0579922734974493,0.5011764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Energy,raw_text_embedding,6,0.0565886555841567,0.1938309393482676,0.2378837018043833,0.0538021519134849,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Energy,event_no_verifier,6,0.2581174126102151,0.3842520059043791,0.5080525687467933,0.1071003030233902,0.4188235294117647,0.4374671307338582,450.0,11.0,1.0,0.0,0.0,0,0.0
2026,Energy,event_with_verifier,6,0.1309740392000919,0.2576427866346287,0.3619033561603041,0.072161406857819,0.4305882352941176,0.4374671307338582,450.0,11.0,1.0,0.0,0.0,0,0.0
2026,Energy,full_cents_feature,6,0.1309740392000919,0.2576427866346287,0.3619033561603041,0.072161406857819,0.4305882352941176,0.4374671307338582,450.0,11.0,1.0,0.0,0.0,0,0.0
2026,Energy,persistence,3,0.0119464616695059,0.0737620670073821,0.1092998704002249,0.0267612317990631,0.0085178875638841,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Energy,numerical_only,3,0.0197523501164096,0.0999501563559656,0.1405430543157848,0.0297638289500607,0.5468085106382978,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Energy,raw_text_embedding,3,0.0452245040040381,0.1581111391781293,0.212660537016246,0.0473270635161242,0.5127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Energy,event_no_verifier,3,0.0283097412496911,0.1217870998557806,0.1682549887809903,0.0370587664321851,0.5638297872340425,0.4283051614779687,450.0,11.0,1.0,0.0,0.0,0,0.0
2026,Energy,event_with_verifier,3,0.0234855028979819,0.1090833115361031,0.1532498055397852,0.0327137781184059,0.5404255319148936,0.4283051614779687,450.0,11.0,1.0,0.0,0.0,0,0.0
2026,Energy,full_cents_feature,3,0.0234855028979819,0.1090833115361031,0.1532498055397852,0.0327137781184059,0.5404255319148936,0.4283051614779687,450.0,11.0,1.0,0.0,0.0,0,0.0
2026,Energy,persistence,6,0.0294510054084827,0.1135027042413891,0.1716129523330997,0.0414474290398584,0.0085397096498719,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Energy,numerical_only,6,0.0635375666922228,0.1816855809536494,0.2520665917812649,0.0546877562852688,0.5182978723404256,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Energy,raw_text_embedding,6,0.1554776777371496,0.2914476460618703,0.3943065783589587,0.0866247298808745,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Energy,event_no_verifier,6,0.0846304312716173,0.2008348458068286,0.2909130991750239,0.0597822344824643,0.5276595744680851,0.4283051614779687,450.0,11.0,1.0,0.0,0.0,0,0.0
2026,Energy,event_with_verifier,6,0.0709299357805307,0.1867984047592416,0.266326746273315,0.0561456313147056,0.5259574468085106,0.4283051614779687,450.0,11.0,1.0,0.0,0.0,0,0.0
2026,Energy,full_cents_feature,6,0.0709299357805307,0.1867984047592416,0.266326746273315,0.0561456313147056,0.5259574468085106,0.4283051614779687,450.0,11.0,1.0,0.0,0.0,0,0.0
2026,Health_US,persistence,3,0.4007673122678217,0.3621474236229415,0.6330618550093046,0.1655750769661395,0.0153321976149914,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Health_US,numerical_only,3,1.7155391782295488,0.9973995107621704,1.3097859283980526,0.5089521581515041,0.6446808510638298,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Health_US,raw_text_embedding,3,3.0478455667573146,1.2808216734710325,1.7458079982510433,0.6419421287075746,0.5085106382978724,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Health_US,event_no_verifier,3,1.5074619173390034,0.8931506174880285,1.2277874072244768,0.4247900550704349,0.6042553191489362,0.4712230723522801,1199.0,11.0,1.0,0.0,0.0,0,0.0
2026,Health_US,event_with_verifier,3,1.7720217666895932,1.010430275380053,1.3311730791634848,0.5025711264238563,0.6425531914893617,0.4712230723522801,1199.0,11.0,1.0,0.0,0.0,0,0.0
