"seed","domain","method","source_model","horizon","history_length","epochs","batch_size","learning_rate","mse","mae","rmse","mape","trend_f1","train_time_sec","torch_device","best_val_scaled_mse"
"2026","Energy","mmts_dlinear","DLinear","3","24","3","64","0.001","0.10335590883184617","0.24900404189495332","0.32149013800091314","0.07539133100646687","0.5148936170212766","0.059155941009521484","cpu","0.06005939841270447"
"2026","Energy","mmts_timesnet","TimesNet","3","24","3","64","0.001","0.03011334812063859","0.1197268323695406","0.1735319801092542","0.036312280384837636","0.5553191489361702","0.7287197113037109","cpu","0.019882187247276306"
"2026","Energy","mmts_dlinear","DLinear","6","24","3","64","0.001","0.11676208554454846","0.2572802841240633","0.3417046759184727","0.07864893361254201","0.5234042553191489","0.05440855026245117","cpu","0.06316862255334854"
"2026","Energy","mmts_timesnet","TimesNet","6","24","3","64","0.001","0.06536419255951842","0.18114736443715737","0.25566421837933917","0.05528047734318728","0.5004255319148936","0.7362957000732422","cpu","0.04064103588461876"
"2026","Health_US","mmts_dlinear","DLinear","3","24","3","64","0.001","1.70725701360974","0.8513664944797543","1.3066204550709208","0.3106773244234292","0.5872340425531914","0.04697680473327637","cpu","1.3650178909301758"
"2026","Health_US","mmts_timesnet","TimesNet","3","24","3","64","0.001","0.7632072077459444","0.5770366656864788","0.8736173119541213","0.2428954487504998","0.4851063829787234","0.6461179256439209","cpu","0.4365343451499939"
"2026","Health_US","mmts_dlinear","DLinear","6","24","3","64","0.001","1.9870587266363329","0.924353530136406","1.4096307057652842","0.34929446690149896","0.5821276595744681","0.06492781639099121","cpu","1.6189213991165161"
"2026","Health_US","mmts_timesnet","TimesNet","6","24","3","64","0.001","1.5003602857902272","0.8464178273441099","1.2248919486184189","0.3634148939354672","0.5097872340425532","0.6648709774017334","cpu","0.9911575317382812"
"2026","Health_AFR","mmts_dlinear","DLinear","3","24","3","64","0.001","0.003204147639051408","0.046005792934645684","0.0566051909196622","1.9319504424637142","0.5106382978723404","0.04319643974304199","cpu","0.14776793122291565"
"2026","Health_AFR","mmts_timesnet","TimesNet","3","24","3","64","0.001","0.001526811963929733","0.027681243242960132","0.039074441313085115","0.8950884588381885","0.49148936170212765","0.6905701160430908","cpu","0.1153118833899498"
"2026","Health_AFR","mmts_dlinear","DLinear","6","24","3","64","0.001","0.004514612352994114","0.05566200922864179","0.06719086510080156","2.4110382990402606","0.512340425531915","0.039173126220703125","cpu","0.15080563724040985"
"2026","Health_AFR","mmts_timesnet","TimesNet","6","24","3","64","0.001","0.0026169817907507357","0.035850715630932166","0.05115644427392052","1.277616799913941","0.49617021276595746","0.671029806137085","cpu","0.15911297500133514"
"2027","Energy","mmts_dlinear","DLinear","3","24","3","64","0.001","0.09106939787719981","0.22772602865881952","0.301777066519641","0.06863625330420874","0.548936170212766","0.05452990531921387","cpu","0.044392138719558716"
"2027","Energy","mmts_timesnet","TimesNet","3","24","3","64","0.001","0.03225124336735958","0.12846835200668227","0.17958631174830553","0.039622883055118865","0.574468085106383","0.6220765113830566","cpu","0.021065348759293556"
"2027","Energy","mmts_dlinear","DLinear","6","24","3","64","0.001","0.114956217339763","0.25707352212134826","0.3390519390001523","0.07837008361452155","0.5106382978723404","0.04324531555175781","cpu","0.059754010289907455"
"2027","Energy","mmts_timesnet","TimesNet","6","24","3","64","0.001","0.06546383413634725","0.1835504416032886","0.25585901222420765","0.05654808267937909","0.48936170212765956","0.6847760677337646","cpu","0.04107044264674187"
"2027","Health_US","mmts_dlinear","DLinear","3","24","3","64","0.001","1.664628959143593","0.8413653714437012","1.2902050066340593","0.3136732808951394","0.6787234042553192","0.05888080596923828","cpu","1.3491847515106201"
"2027","Health_US","mmts_timesnet","TimesNet","3","24","3","64","0.001","0.9098814716070593","0.6241653489728346","0.9538770736353083","0.26030918292330185","0.5255319148936171","0.6305079460144043","cpu","0.582206666469574"
"2027","Health_US","mmts_dlinear","DLinear","6","24","3","64","0.001","1.9998738340627673","0.929637803169007","1.414168955274711","0.35119526808225776","0.6017021276595744","0.05173850059509277","cpu","1.642177700996399"
"2027","Health_US","mmts_timesnet","TimesNet","6","24","3","64","0.001","1.293119756555294","0.7624003570130531","1.1371542360450908","0.31968164226773443","0.5319148936170213","0.6273138523101807","cpu","1.0020266771316528"
"2027","Health_AFR","mmts_dlinear","DLinear","3","24","3","64","0.001","0.003108464497156875","0.0461884026491605","0.055753605239095304","1.9919171487502374","0.5212765957446809","0.057692527770996094","cpu","0.13147321343421936"
"2027","Health_AFR","mmts_timesnet","TimesNet","3","24","3","64","0.001","0.001828986119728733","0.030414355184605463","0.04276664728183322","0.9606065366247352","0.5063829787234042","0.6449437141418457","cpu","0.14489313960075378"
"2027","Health_AFR","mmts_dlinear","DLinear","6","24","3","64","0.001","0.0043018029888620525","0.054640697167710736","0.06558813146341382","2.36292890043247","0.502127659574468","0.04133868217468262","cpu","0.15027479827404022"
"2027","Health_AFR","mmts_timesnet","TimesNet","6","24","3","64","0.001","0.002398110329415358","0.033887084434799694","0.04897050468818305","1.0215973709438355","0.4978723404255319","0.6162621974945068","cpu","0.1658409684896469"
"2028","Energy","mmts_dlinear","DLinear","3","24","3","64","0.001","0.09719276045989528","0.23861494098149294","0.31175753472834505","0.07140936358067523","0.5063829787234042","0.05333209037780762","cpu","0.049511294811964035"
"2028","Energy","mmts_timesnet","TimesNet","3","24","3","64","0.001","0.051470799840853516","0.16451346603691155","0.2268717695987174","0.05090601937850447","0.48723404255319147","0.6293668746948242","cpu","0.032736945897340775"
"2028","Energy","mmts_dlinear","DLinear","6","24","3","64","0.001","0.12479329548693784","0.2663561793929296","0.35326094531795876","0.07965236668509379","0.49446808510638296","0.07414937019348145","cpu","0.06096919625997543"
"2028","Energy","mmts_timesnet","TimesNet","6","24","3","64","0.001","0.07854884379632114","0.20713172128014531","0.2802656664600949","0.06397758451119619","0.5004255319148936","0.6516973972320557","cpu","0.056336916983127594"
"2028","Health_US","mmts_dlinear","DLinear","3","24","3","64","0.001","1.7217751768641354","0.8406029397714223","1.312164310162464","0.3000842455625951","0.6","0.044994354248046875","cpu","1.3699947595596313"
"2028","Health_US","mmts_timesnet","TimesNet","3","24","3","64","0.001","0.9551970951546708","0.6640365750231642","0.9773418517359578","0.2986015443392286","0.4851063829787234","0.6247479915618896","cpu","0.6151586174964905"
"2028","Health_US","mmts_dlinear","DLinear","6","24","3","64","0.001","2.0776218893188685","0.924603053948558","1.4413958128560207","0.33039321873788124","0.5531914893617021","0.05158567428588867","cpu","1.6609065532684326"
"2028","Health_US","mmts_timesnet","TimesNet","6","24","3","64","0.001","1.4168649747716833","0.8121482629302545","1.1903213745756578","0.34033923438899827","0.5072340425531915","0.6285624504089355","cpu","1.0811618566513062"
