seed,domain,method,source_model,horizon,history_length,epochs,batch_size,learning_rate,mse,mae,rmse,mape,trend_f1,nmse,smape,relative_improvement_over_persistence,n_features,train_time_sec,torch_device,best_val_scaled_mse,rank_mse_in_domain_horizon
2026,Energy,strong_raw_text_fusion,PatchTST,3,24,3,64,0.001,0.04420412305027971,0.15019402182694022,0.21024776586275468,0.04594757578432517,0.5212765957446809,0.08598264126541914,0.04586217179894447,-1.5806367983352843,25.0,0.6345477104187012,cpu,0.034742746502161026,13.0
2026,Energy,strong_event_no_verifier,TimesNet,3,24,3,64,0.001,0.04052321689799654,0.13881670025223536,0.20130379255740946,0.042318370969032765,0.4531914893617021,0.07882281065723258,0.042300425469875336,-1.3657454892825966,14.0,0.6799676418304443,cpu,0.022632747888565063,8.0
2026,Energy,strong_event_no_verifier,PatchTST,3,24,3,64,0.001,0.043424853792589015,0.14869688301221698,0.20838630903346078,0.045463334930800285,0.5127659574468085,0.08446686345082534,0.04535304009914398,-1.5351430574025524,14.0,0.5262985229492188,cpu,0.02952543832361698,10.0
2026,Energy,strong_event_with_verifier,TimesNet,3,24,3,64,0.001,0.033526474265681845,0.12374246661544691,0.18310236007676647,0.03758158400920694,0.4702127659574468,0.06521325638338137,0.03767841309309006,-0.9572756394250429,14.0,0.6370515823364258,cpu,0.020853696390986443,3.0
2026,Energy,strong_event_with_verifier,PatchTST,3,24,3,64,0.001,0.043424853792589015,0.14869688301221698,0.20838630903346078,0.045463334930800285,0.5127659574468085,0.08446686345082534,0.04535304009914398,-1.5351430574025524,14.0,0.4787147045135498,cpu,0.02952543832361698,10.0
2026,Energy,strong_numerical_only,TimesNet,6,24,3,64,0.001,0.06536419255951842,0.18114736443715737,0.25566421837933917,0.05528047734318728,0.5004255319148936,0.12710831833036473,0.055268652737140656,-0.589707606521806,9.0,0.6647703647613525,cpu,0.04064103588461876,3.0
2026,Energy,strong_numerical_only,PatchTST,6,24,3,64,0.001,0.06934711372697006,0.19044842238121845,0.26333840154252103,0.05849017856281002,0.465531914893617,0.13485357443792248,0.05846855044364929,-0.6865753230519102,9.0,0.37394046783447266,cpu,0.043549686670303345,16.0
2026,Energy,strong_raw_text_fusion,TimesNet,6,24,3,64,0.001,0.06503174294763997,0.18016853839793104,0.25501322112321934,0.05604933458614963,0.48851063829787233,0.1264618311721707,0.05605529993772507,-0.581622175399756,25.0,0.6561851501464844,cpu,0.049049317836761475,2.0
2026,Energy,strong_raw_text_fusion,PatchTST,6,24,3,64,0.001,0.06872965276744916,0.19064840391172586,0.2621634085211915,0.058556133911575624,0.46297872340425533,0.1336528493753756,0.05868786200881004,-0.671558196003537,25.0,0.6346118450164795,cpu,0.0423428900539875,11.0
2026,Energy,strong_event_no_verifier,TimesNet,6,24,3,64,0.001,0.06923681043706524,0.18699644279818162,0.26312888559993797,0.05774058994951382,0.4868085106382979,0.13463907678810694,0.05760209262371063,-0.6838926619171245,14.0,0.6833868026733398,cpu,0.044538725167512894,15.0
